tag,language,source_type,source_value,post_url,hop_depth,context_excerpt
#외국인모델,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW7zJpXEdlX/,0,"raw345ig Seoul, South Korea Follow raw345ig   1w 팔각정에서 바라본 서울의 봄 풍경 Looking out over Seoul on a spring day.  #외국인모델 #외국인남자모델 #외국인중년배우 #서울풍경 #봄날 See translation dongyoung.lee.12327   1w Look like 30 years old 👏 Reply 2080psh   1w 👏👏👏 Reply jaeii.lee   1w Soo beautiful weather 😍 Reply See translation"
#외국인남자모델,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW7zJpXEdlX/,0,"raw345ig Seoul, South Korea Follow raw345ig   1w 팔각정에서 바라본 서울의 봄 풍경 Looking out over Seoul on a spring day.  #외국인모델 #외국인남자모델 #외국인중년배우 #서울풍경 #봄날 See translation dongyoung.lee.12327   1w Look like 30 years old 👏 Reply 2080psh   1w 👏👏👏 Reply jaeii.lee   1w Soo beautiful weather 😍 Reply See translation"
#외국인중년배우,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW7zJpXEdlX/,0,"raw345ig Seoul, South Korea Follow raw345ig   1w 팔각정에서 바라본 서울의 봄 풍경 Looking out over Seoul on a spring day.  #외국인모델 #외국인남자모델 #외국인중년배우 #서울풍경 #봄날 See translation dongyoung.lee.12327   1w Look like 30 years old 👏 Reply 2080psh   1w 👏👏👏 Reply jaeii.lee   1w Soo beautiful weather 😍 Reply See translation"
#서울풍경,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW7zJpXEdlX/,0,"raw345ig Seoul, South Korea Follow raw345ig   1w 팔각정에서 바라본 서울의 봄 풍경 Looking out over Seoul on a spring day.  #외국인모델 #외국인남자모델 #외국인중년배우 #서울풍경 #봄날 See translation dongyoung.lee.12327   1w Look like 30 years old 👏 Reply 2080psh   1w 👏👏👏 Reply jaeii.lee   1w Soo beautiful weather 😍 Reply See translation"
#봄날,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW7zJpXEdlX/,0,"raw345ig Seoul, South Korea Follow raw345ig   1w 팔각정에서 바라본 서울의 봄 풍경 Looking out over Seoul on a spring day.  #외국인모델 #외국인남자모델 #외국인중년배우 #서울풍경 #봄날 See translation dongyoung.lee.12327   1w Look like 30 years old 👏 Reply 2080psh   1w 👏👏👏 Reply jaeii.lee   1w Soo beautiful weather 😍 Reply See translation"
#외국인모델,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW2pDL3Ebdv/,0,"raw345ig Seoul, South Korea Follow raw345ig   2w 한옥마을의 벚꽃 Cherry blossoms in a Korean traditional village  #외국인모델 #외국인남자배우 #외국인시니어모델 #한옥마을 #벚꽃 See translation jaeii.lee   2w Gorgeous 👍🌸 1 like Reply laura.lawrence.555   1w So beautiful! Reply View all 1 replies fibrofoolgoesvertical   1w It looks li"
#외국인남자배우,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW2pDL3Ebdv/,0,"raw345ig Seoul, South Korea Follow raw345ig   2w 한옥마을의 벚꽃 Cherry blossoms in a Korean traditional village  #외국인모델 #외국인남자배우 #외국인시니어모델 #한옥마을 #벚꽃 See translation jaeii.lee   2w Gorgeous 👍🌸 1 like Reply laura.lawrence.555   1w So beautiful! Reply View all 1 replies fibrofoolgoesvertical   1w It looks li"
#외국인시니어모델,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW2pDL3Ebdv/,0,"raw345ig Seoul, South Korea Follow raw345ig   2w 한옥마을의 벚꽃 Cherry blossoms in a Korean traditional village  #외국인모델 #외국인남자배우 #외국인시니어모델 #한옥마을 #벚꽃 See translation jaeii.lee   2w Gorgeous 👍🌸 1 like Reply laura.lawrence.555   1w So beautiful! Reply View all 1 replies fibrofoolgoesvertical   1w It looks li"
#한옥마을,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW2pDL3Ebdv/,0,"raw345ig Seoul, South Korea Follow raw345ig   2w 한옥마을의 벚꽃 Cherry blossoms in a Korean traditional village  #외국인모델 #외국인남자배우 #외국인시니어모델 #한옥마을 #벚꽃 See translation jaeii.lee   2w Gorgeous 👍🌸 1 like Reply laura.lawrence.555   1w So beautiful! Reply View all 1 replies fibrofoolgoesvertical   1w It looks li"
#벚꽃,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DW2pDL3Ebdv/,0,"raw345ig Seoul, South Korea Follow raw345ig   2w 한옥마을의 벚꽃 Cherry blossoms in a Korean traditional village  #외국인모델 #외국인남자배우 #외국인시니어모델 #한옥마을 #벚꽃 See translation jaeii.lee   2w Gorgeous 👍🌸 1 like Reply laura.lawrence.555   1w So beautiful! Reply View all 1 replies fibrofoolgoesvertical   1w It looks li"
#외국인모델,ko,profile_post,raw345ig,https://www.instagram.com/raw345ig/p/DWnlHjGkW2N/,0,"raw345ig Seoul, South Korea Follow raw345ig   2w 아이린 “Biggest Fan” M/V에서 사진작가로 출연했어요. 눈 깜빡하면 놓칠 수도 있어요 (아니면 제 뒤통수만 보일 수도 😄) In Irene’s “Biggest Fan” M/V as a photographer. Blink and you’ll miss me (or just see the back of my head).  #외국인모델 #외국인남자모델 #외국인중년모델 #외국인남자배우 #외국인시니어모델 See translation jaeii.l"
