rank,tag,bucket,categories
1,#외국인모델,targeted,modeling
2,#외국인남자모델,targeted,modeling
3,#외국인중년모델,targeted,modeling|senior
4,#외국인남자배우,targeted,acting
5,#외국인시니어모델,targeted,modeling|senior
6,#외국인중년배우,targeted,acting|drama|senior
7,#외국인배우,targeted,acting|drama
8,#외국인캐스팅,targeted,acting|modeling
9,#광고모델,targeted,modeling|commercial
10,#중년모델,targeted,modeling|senior
11,#시니어모델,targeted,modeling|senior
12,#남자모델,broad,modeling
13,#남자배우,broad,acting|drama
14,#외국모델,targeted,modeling
15,#외국인모델에이전시,targeted,modeling
16,#모델프로필,targeted,modeling|commercial
17,#배우프로필,targeted,acting|drama
18,#배우프로필사진,targeted,acting|drama
19,#modelinkorea,targeted,modeling
20,#foreignmodel,targeted,modeling
21,#seniormodel,targeted,modeling|senior
22,#actorinkorea,targeted,acting|drama
23,#Seoulmodel,broad,modeling
24,#모델촬영,targeted,modeling|commercial
25,#촬영문의,targeted,commercial
26,#촬영,broad,commercial
27,#광고촬영,targeted,commercial
28,#룩북모델,targeted,modeling|commercial
29,#룩북촬영,targeted,modeling|commercial
30,#룩북,broad,modeling|commercial
31,#패션모델,targeted,modeling|commercial
32,#화보모델,targeted,modeling|commercial
33,#commercialmodel,targeted,modeling|commercial
34,#editorialmodel,targeted,modeling|commercial
35,#에디토리얼모델,targeted,modeling|commercial
36,#라이프스타일모델,targeted,modeling|commercial
37,#프리랜서모델,targeted,modeling|commercial
38,#freelancemodel,targeted,modeling|commercial
39,#프리랜서외국인모델,targeted,modeling|commercial
40,#외국인모델촬영,targeted,modeling|commercial
41,#외국인모델섭외,targeted,modeling
42,#외국인시니어모델섭외,targeted,modeling|senior
43,#시니어모델섭외,targeted,modeling|senior
44,#백인중년모델,reserve,modeling|senior
45,#백인시니어모델,reserve,modeling|senior
46,#silvermodel,reserve,modeling|senior
47,#maturemodel,reserve,modeling|senior
48,#실버모델,targeted,modeling|senior
49,#외국인실버모델,targeted,modeling|senior
50,#외국인연기자,targeted,acting|drama
51,#미국인모델,reserve,modeling
52,#외국인남자,reserve,
53,#외국남자,reserve,
54,#남자외국모델,reserve,modeling
55,#중년외국인모델,reserve,modeling|senior
56,#외국남자모델,reserve,modeling
57,#남자외국인모델,reserve,modeling
58,#외국인할아버지,reserve,senior
59,#외국인광고,reserve,commercial
60,#미국남자,reserve,
61,#드라마,reserve,acting|drama
62,#중년배우,targeted,acting|drama|senior
63,#시니어배우,reserve,acting|drama|senior
64,#할아버지모델,reserve,modeling|senior
65,#외국인피팅모델,reserve,modeling|commercial
66,#외국인패션모델,targeted,modeling|commercial
67,#남자중년외국인,reserve,senior
68,#외국인중년남자,reserve,senior
69,#시니어외국인모델,reserve,modeling|senior
70,#남자시니어외국인,reserve,senior
71,#실버외국인,reserve,senior
72,#短剧,targeted,chinese|drama|acting|shortform
73,#微短剧,targeted,chinese|drama|acting|shortform
74,#竖屏短剧,targeted,chinese|drama|acting|shortform
75,#外籍演员,targeted,chinese|acting
76,#外国演员,targeted,chinese|acting
77,#外国资深演员,reserve,chinese|acting|senior
78,#竖屏剧,reserve,chinese|drama|shortform
